timestamp, kwh, co2
20-07-2007 00:00, 18.703, 3.085995
21-07-2007 00:00, 6.047, 0.997755
22-07-2007 00:00, 20.587, 3.396855
23-07-2007 00:00, 20.215, 3.335475
24-07-2007 00:00, 23.055, 3.804075
25-07-2007 00:00, 16.999, 2.804835
26-07-2007 00:00, 24.921, 4.111965
27-07-2007 00:00, 24.502, 4.04283
28-07-2007 00:00, 22.746, 3.75309
29-07-2007 00:00, 11.074, 1.82721
30-07-2007 00:00, 21.313, 3.516645
31-07-2007 00:00, 24.299, 4.009335
01-08-2007 00:00, 21.769, 3.591885
02-08-2007 00:00, 26.742, 4.41243
03-08-2007 00:00, 27.076, 4.46754
04-08-2007 00:00, 7.621, 1.257465
05-08-2007 00:00, 26.604, 4.38966
06-08-2007 00:00, 25.345, 4.181925
07-08-2007 00:00, 15.959, 2.633235
08-08-2007 00:00, 42.423, 6.999795
09-08-2007 00:00, 33.446, 5.51859
10-08-2007 00:00, 36.363, 5.999895
11-08-2007 00:00, 34.413, 5.678145
12-08-2007 00:00, 24.38, 4.0227
13-08-2007 00:00, 42.093, 6.945345
14-08-2007 00:00, 48.147, 7.944255
15-08-2007 00:00, 27.325, 4.508625
16-08-2007 00:00, 8.107, 1.337655
17-08-2007 00:00, 35.099, 5.791335
18-08-2007 00:00, 14.389, 2.374185
15-02-2008 00:00, 29.499, 5.752305
16-02-2008 00:00, 19.144, 3.73308
17-02-2008 00:00, 8.748, 1.70586
18-02-2008 00:00, 7.17, 1.39815
19-02-2008 00:00, 25.989, 5.067855
20-02-2008 00:00, 40.11, 7.82145
21-02-2008 00:00, 40.894, 7.97433
22-02-2008 00:00, 7.987, 1.557465
23-02-2008 00:00, 6.612, 1.28934
24-02-2008 00:00, 22.58, 4.4031
25-02-2008 00:00, 39.423, 7.687485
26-02-2008 00:00, 41.956, 8.18142
27-02-2008 00:00, 18.981, 3.701295
28-02-2008 00:00, 36.91, 7.19745
29-02-2008 00:00, 35.114, 6.84723
01-03-2008 00:00, 7.468, 1.45626
02-03-2008 00:00, 13.848, 2.70036
03-03-2008 00:00, 29.978, 5.84571
04-03-2008 00:00, 9.631, 1.878045
05-03-2008 00:00, 25.614, 4.99473
06-03-2008 00:00, 27.018, 5.26851
07-03-2008 00:00, 19.303, 3.764085
08-03-2008 00:00, 22.784, 4.44288
09-03-2008 00:00, 27.786, 5.41827
10-03-2008 00:00, 32.984, 6.43188
11-03-2008 00:00, 22.655, 4.417725
12-03-2008 00:00, 26.589, 5.184855
13-03-2008 00:00, 23.554, 4.59303
14-03-2008 00:00, 17.696, 3.45072
15-03-2008 00:00, 27.351, 5.333445
16-03-2008 00:00, 27.59, 5.38005
17-03-2008 00:00, 37.249, 7.263555
18-03-2008 00:00, 39.227, 7.649265
19-03-2008 00:00, 30.228, 5.89446
20-03-2008 00:00, 17.781, 3.467295
21-03-2008 00:00, 27.645, 5.390775
22-03-2008 00:00, 39.263, 7.656285
23-03-2008 00:00, 42.378, 8.26371
24-03-2008 00:00, 24.022, 4.68429
25-03-2008 00:00, 19.383, 3.779685
26-03-2008 00:00, 28.541, 5.565495
27-03-2008 00:00, 37.404, 7.29378
28-03-2008 00:00, 35.603, 6.942585
29-03-2008 00:00, 25.778, 5.02671
30-03-2008 00:00, 24.569, 4.790955
31-03-2008 00:00, 11.404, 2.22378
01-04-2008 00:00, 11.792, 2.29944
02-04-2008 00:00, 26.427, 5.153265
03-04-2008 00:00, 18.201, 3.549195
04-04-2008 00:00, 32.355, 6.309225
05-04-2008 00:00, 16.192, 3.15744
06-04-2008 00:00, 26.094, 5.08833
07-04-2008 00:00, 26.583, 5.183685
08-04-2008 00:00, 17.099, 3.334305
09-04-2008 00:00, 34.929, 6.811155
10-04-2008 00:00, 33.451, 6.522945
11-04-2008 00:00, 34.971, 6.819345
12-04-2008 00:00, 12.948, 2.52486
13-04-2008 00:00, 12.993, 2.533635
14-04-2008 00:00, 4.181, 0.815295
18-10-2007 00:00, 30.061, 4.960065
19-10-2007 00:00, 56.948, 9.39642
20-10-2007 00:00, 39.395, 6.500175
21-10-2007 00:00, 40.381, 6.662865
22-10-2007 00:00, 17.808, 2.93832
23-10-2007 00:00, 33.981, 5.606865
24-10-2007 00:00, 19.422, 3.20463
25-10-2007 00:00, 40.667, 6.710055
26-10-2007 00:00, 51.389, 8.479185
27-10-2007 00:00, 21.884, 3.61086
28-10-2007 00:00, 31.779, 5.243535
29-10-2007 00:00, 40.795, 6.731175
30-10-2007 00:00, 43.811, 7.228815
31-10-2007 00:00, 57.07, 9.41655
01-11-2007 00:00, 38.916, 6.42114
02-11-2007 00:00, 22.507, 3.713655
03-11-2007 00:00, 35.347, 5.832255
04-11-2007 00:00, 16.705, 2.756325
05-11-2007 00:00, 20.999, 3.464835
06-11-2007 00:00, 9.158, 1.51107
07-11-2007 00:00, 15.757, 2.599905
08-11-2007 00:00, 40.94, 6.7551
09-11-2007 00:00, 33.5, 5.5275
10-11-2007 00:00, 46.466, 7.66689
11-11-2007 00:00, 43.66, 7.2039
12-11-2007 00:00, 37.406, 6.17199
13-11-2007 00:00, 46.758, 7.71507
14-11-2007 00:00, 48.562, 8.01273
15-11-2007 00:00, 32.807, 5.413155
16-11-2007 00:00, 19.209, 3.169485
17-11-2007 00:00, 43.66, 7.2039
18-11-2007 00:00, 37.406, 6.17199
19-11-2007 00:00, 46.758, 7.71507
20-11-2007 00:00, 48.562, 8.01273
21-11-2007 00:00, 32.807, 5.413155
22-11-2007 00:00, 30.953, 5.107245
23-11-2007 00:00, 45.142, 7.44843
24-11-2007 00:00, 31.541, 5.204265
25-11-2007 00:00, 62.452, 10.30458
26-11-2007 00:00, 77.025, 12.709125
27-11-2007 00:00, 66.056, 10.89924
28-11-2007 00:00, 43.692, 7.20918
29-11-2007 00:00, 29.09, 4.79985
30-11-2007 00:00, 41.715, 6.882975
01-12-2007 00:00, 39.314, 6.48681
02-12-2007 00:00, 34.55, 5.70075
03-12-2007 00:00, 40.311, 6.651315
04-12-2007 00:00, 61.682, 10.17753
05-12-2007 00:00, 25.218, 4.16097
06-12-2007 00:00, 17.375, 2.866875
07-12-2007 00:00, 42.488, 7.01052
08-12-2007 00:00, 61.207, 10.099155
09-12-2007 00:00, 15.196, 2.50734
10-12-2007 00:00, 15.493, 2.556345
11-12-2007 00:00, 26.293, 4.338345
12-12-2007 00:00, 50.034, 8.25561
13-12-2007 00:00, 49.56, 8.1774
14-12-2007 00:00, 50.857, 8.391405
15-12-2007 00:00, 28.311, 4.671315
16-12-2007 00:00, 52.035, 8.585775
17-12-2007 00:00, 48.053, 7.928745
18-12-2007 00:00, 33.449, 5.519085
19-12-2007 00:00, 33.859, 5.586735
20-12-2007 00:00, 59.442, 9.80793
21-12-2007 00:00, 37.663, 6.214395
22-12-2007 00:00, 52.403, 8.646495
23-12-2007 00:00, 41.691, 6.879015
24-12-2007 00:00, 67.73, 11.17545
25-12-2007 00:00, 31.366, 5.17539
26-12-2007 00:00, 63.379, 10.457535
27-12-2007 00:00, 59.134, 9.75711
28-12-2007 00:00, 50.498, 8.33217
29-12-2007 00:00, 40.72, 6.7188
30-12-2007 00:00, 59.658, 9.84357
31-12-2007 00:00, 37.254, 6.14691
01-01-2008 00:00, 72.393, 14.116635
02-01-2008 00:00, 55.282, 10.77999
03-01-2008 00:00, 41.378, 8.06871
04-01-2008 00:00, 41.537, 8.099715
05-01-2008 00:00, 3.863, 0.753285
06-01-2008 00:00, 2.996, 0.58422
07-01-2008 00:00, 41.205, 8.034975
08-01-2008 00:00, 21.523, 4.196985
09-01-2008 00:00, 30.202, 5.88939
10-01-2008 00:00, 50.721, 9.890595
11-01-2008 00:00, 55.55, 10.83225
12-01-2008 00:00, 54.84, 10.6938
13-01-2008 00:00, 50.184, 9.78588
14-01-2008 00:00, 49.799, 9.710805
15-01-2008 00:00, 50.375, 9.823125
16-01-2008 00:00, 44.454, 8.66853
17-01-2008 00:00, 27.167, 5.297565
18-01-2008 00:00, 34.921, 6.809595
19-01-2008 00:00, 47.271, 9.217845
20-01-2008 00:00, 29.593, 5.770635
21-01-2008 00:00, 8.57, 1.67115
22-01-2008 00:00, 26.515, 5.170425
23-01-2008 00:00, 22.643, 4.415385
24-01-2008 00:00, 28.455, 5.548725
25-01-2008 00:00, 37.982, 7.40649
26-01-2008 00:00, 51.266, 9.99687
27-01-2008 00:00, 54.723, 10.670985
28-01-2008 00:00, 50.528, 9.85296
29-01-2008 00:00, 34.93, 6.81135
30-01-2008 00:00, 48.489, 9.455355
31-01-2008 00:00, 39.355, 7.674225
01-02-2008 00:00, 22.74, 4.4343
02-02-2008 00:00, 28.801, 5.616195
03-02-2008 00:00, 30.365, 5.921175
04-02-2008 00:00, 20.409, 3.979755
05-02-2008 00:00, 49.434, 9.63963
06-02-2008 00:00, 48.215, 9.401925
07-02-2008 00:00, 52.29, 10.19655
08-02-2008 00:00, 47.81, 9.32295
09-02-2008 00:00, 19.588, 3.81966
10-02-2008 00:00, 17.501, 3.412695
11-02-2008 00:00, 17.126, 3.33957
12-02-2008 00:00, 29.7, 5.7915
13-02-2008 00:00, 20.597, 4.016415
14-02-2008 00:00, 9.298, 1.81311
13-08-2008 00:00, 46.799, 9.125805
14-08-2008 00:00, 70.552, 13.75764
15-08-2008 00:00, 61.003, 11.895585
16-08-2008 00:00, 105.464, 20.56548
17-08-2008 00:00, 26.684, 5.20338
18-08-2008 00:00, 105.368, 20.54676
19-08-2008 00:00, 95.259, 18.575505
20-08-2008 00:00, 98.989, 19.302855
21-08-2008 00:00, 91.504, 17.84328
22-08-2008 00:00, 72.868, 14.20926
23-08-2008 00:00, 48.485, 9.454575
24-08-2008 00:00, 28.035, 5.466825
25-08-2008 00:00, 108.836, 21.22302
26-08-2008 00:00, 21.055, 4.105725
27-08-2008 00:00, 84.734, 16.52313
28-08-2008 00:00, 143.522, 27.98679
29-08-2008 00:00, 78.272, 15.26304
30-08-2008 00:00, 48.853, 9.526335
31-08-2008 00:00, 139.062, 27.11709
01-09-2008 00:00, 116.323, 22.682985
02-09-2008 00:00, 123.435, 24.069825
03-09-2008 00:00, 86.588, 16.88466
04-09-2008 00:00, 118.63, 23.13285
05-09-2008 00:00, 98.047, 19.119165
06-09-2008 00:00, 141.427, 27.578265
07-09-2008 00:00, 107.275, 20.918625
08-09-2008 00:00, 24.933, 4.861935
09-09-2008 00:00, 84.624, 16.50168
10-09-2008 00:00, 100.221, 19.543095
11-09-2008 00:00, 86.879, 16.941405
12-09-2008 00:00, 130.409, 25.429755
13-09-2008 00:00, 128.318, 25.02201
14-09-2008 00:00, 116.051, 22.629945
15-09-2008 00:00, 127.027, 24.770265
16-09-2008 00:00, 127.111, 24.786645
17-09-2008 00:00, 126.819, 24.729705
18-09-2008 00:00, 105.272, 20.52804
19-09-2008 00:00, 125.373, 24.447735
20-09-2008 00:00, 152.198, 29.67861
21-09-2008 00:00, 130.662, 25.47909
22-09-2008 00:00, 156.497, 30.516915
23-09-2008 00:00, 65.343, 12.741885
24-09-2008 00:00, 121.742, 23.73969
25-09-2008 00:00, 105.933, 20.656935
26-09-2008 00:00, 163.384, 31.85988
27-09-2008 00:00, 74.867, 14.599065
28-09-2008 00:00, 162.398, 31.66761
29-09-2008 00:00, 97.228, 18.95946
30-09-2008 00:00, 135.128, 26.34996
01-10-2008 00:00, 141.178, 27.52971
02-10-2008 00:00, 143.732, 28.02774
03-10-2008 00:00, 139.253, 27.154335
04-10-2008 00:00, 98.919, 19.289205
05-10-2008 00:00, 55.657, 10.853115
06-10-2008 00:00, 33.112, 6.45684
07-10-2008 00:00, 27.151, 5.294445
08-10-2008 00:00, 122.2, 23.829
09-10-2008 00:00, 142.985, 27.882075
10-10-2008 00:00, 150.238, 29.29641
11-10-2008 00:00, 97.348, 18.98286
15-04-2008 00:00, 1.706, 0.33267
16-04-2008 00:00, 8.216, 1.60212
17-04-2008 00:00, 27.779, 5.416905
18-04-2008 00:00, 21.431, 4.179045
19-04-2008 00:00, 22.461, 4.379895
20-04-2008 00:00, 33.141, 6.462495
21-04-2008 00:00, 33.781, 6.587295
22-04-2008 00:00, 25.926, 5.05557
23-04-2008 00:00, 21.788, 4.24866
24-04-2008 00:00, 12.236, 2.38602
